manufacturer,age,training_before[Y/N],gender,body_fat[%],smoking[Y/N],alcohol_times_week,occupation,education,marital_status,kids,location,N sessions/w 1m1w,N sessions/w 1m2w,N sessions/w 1m3w,N sessions/w 1y1w,N sessions/w 1y2w,N sessions/w 1y3w
fitbit,64,True,F,21,False,2,Environmental education officer,phd,married,0,"23430 Beverly Light Apt. 170
West Alexis, GA 12803",4,4,3,4,4,3
apple,53,False,M,13,True,2,"Programmer, systems",school,single,2,"USNS Russell
FPO AP 71943",3,3,4,2,2,2
garmin,54,True,F,23,False,3,Statistician,master,married,1,"4511 Andrea Club
South James, ID 39921",4,2,2,3,2,2
apple,59,True,M,19,False,2,"Therapist, drama",master,widowed,1,"5586 Samuel Flats
East Hunter, LA 79211",3,2,3,2,2,2
fitbit,41,True,M,10,False,0,Drilling engineer,school,separated,3,"64155 Gutierrez Square
East Matthewchester, AZ 07575",4,5,2,4,5,2
sony,39,False,F,21,False,3,Colour technologist,bachelor,married,0,"USNV Garcia
FPO AA 93761",3,2,5,2,2,4
apple,18,False,F,18,False,2,,school,single,0,"8394 Nelson Cape
Lawrencemouth, VA 84592",4,3,4,3,2,3
sony,23,True,F,20,True,3,Chief of Staff,master,divorced,2,"5725 Anderson Walks
Vasquezmouth, ID 49309",3,3,3,2,2,2
sony,54,True,F,29,False,3,Arts development officer,bachelor,divorced,3,"434 Michael Rest Apt. 061
Gavinmouth, NV 01196",3,3,3,2,2,2
garmin,36,True,M,8,False,1,Photographer,phd,single,2,"30759 Nicholas Port Apt. 849
East Barbarashire, WI 31788",3,4,4,3,4,4
sony,23,True,F,24,False,1,Administrator,bachelor,divorced,1,"31090 Vasquez Loop
Matthewland, RI 52144",4,4,2,4,4,2
apple,22,False,F,30,False,1,Speech and language therapist,master,separated,1,"PSC 7705, Box 1163
APO AE 10671",4,2,5,2,1,3
sony,48,False,M,16,False,2,IT sales professional,phd,divorced,3,"9593 Moran Center Suite 916
West Robertbury, PA 65684",4,4,2,3,3,2
coospo,43,True,M,21,True,2,Hydrographic surveyor,bachelor,single,0,"5836 Collins Glen
Bryantton, NV 85942",2,3,2,2,2,2
huawei,35,False,F,18,False,1,Housing manager/officer,school,separated,0,"432 Cordova Ports
New Cameronfurt, CT 42640",3,3,3,3,3,3
oura,62,True,M,18,False,0,Radio producer,master,divorced,1,"825 Shannon Union Apt. 644
South Hannahburgh, IA 65119",3,4,4,3,4,4
apple,31,False,M,21,False,0,Film/video editor,phd,divorced,2,"8173 Nguyen Wall
New Davidbury, NM 66814",2,5,4,2,4,3
apple,22,True,F,14,False,2,"Civil engineer, contracting",bachelor,married,0,"USNS Bautista
FPO AP 72464",3,3,3,3,3,3
garmin,42,True,M,10,False,2,"Teacher, music",phd,divorced,2,"3220 Bush Row Apt. 187
New Sandra, DC 18172",4,3,3,4,3,3
apple,47,True,F,17,True,1,"Psychotherapist, dance movement",bachelor,widowed,0,"3455 Jacqueline Branch
Johnsmouth, AR 89920",4,4,3,3,3,2
coospo,58,True,F,22,False,0,Chiropodist,phd,separated,3,"0258 Kevin Mission
South Michael, MT 36154",4,4,5,4,4,4
huawei,37,False,F,27,False,3,"Engineer, petroleum",school,single,2,"1315 Kramer River
North Jessechester, PR 52308",3,4,4,2,2,2
xiaomi,28,True,M,8,True,2,"Engineer, biomedical",master,separated,2,"PSC 1623, Box 9784
APO AE 97937",3,3,3,3,3,3
apple,45,True,M,20,True,2,IT technical support officer,master,widowed,3,"USNV Peters
FPO AE 71547",5,5,2,4,4,2
sony,29,False,F,31,False,3,Scientific laboratory technician,school,single,0,"6357 Andrew Stream
Santiagoport, WI 62611",4,3,3,2,2,2
apple,34,False,F,22,False,0,Armed forces logistics/support/administrative officer,school,separated,1,"USNS Juarez
FPO AP 35194",5,4,3,4,4,3
sony,53,True,F,19,False,2,Airline pilot,school,married,0,"8458 Allen Isle
Mortonhaven, NJ 44479",3,2,3,3,2,3
apple,64,True,F,29,False,2,Senior tax professional/tax inspector,school,married,3,"7459 Jessica Burg Apt. 355
South Morgan, MO 21581",3,3,4,2,2,3
apple,19,True,M,18,False,0,,school,single,0,"912 Martinez Way
Youngview, ME 62390",4,2,4,4,2,4
huawei,29,True,F,28,False,3,Forensic psychologist,school,separated,2,"606 Thomas Fields Apt. 243
Michelletown, GA 33244",3,3,3,2,2,2
xiaomi,22,False,M,25,False,1,Air traffic controller,master,divorced,0,"0349 Cheryl Field
New Darryl, PR 21260",4,3,4,2,2,2
fitbit,20,True,F,26,False,0,,school,married,0,"88189 Kyle Mews Suite 040
Waterston, MT 30003",3,3,3,2,2,2
fitbit,47,False,M,17,False,2,Film/video editor,school,separated,0,"8234 Michelle Rue Apt. 668
Port Roberthaven, IN 91900",4,2,3,3,2,2
garmin,19,True,F,14,False,3,,school,single,0,"18554 Todd Freeway
New Cindy, MH 28407",2,3,2,2,2,2
apple,25,True,F,21,True,0,Technical sales engineer,master,divorced,0,"Unit 0705 Box 4626
DPO AP 08859",3,3,3,3,3,3
coospo,19,True,F,24,True,0,,school,single,0,"Unit 6791 Box 8138
DPO AP 42522",3,4,3,2,3,2
apple,25,True,F,24,False,0,Drilling engineer,master,divorced,2,"4278 Linda Way
Parkborough, SD 55826",3,3,3,3,3,3
apple,31,True,M,13,False,2,Charity officer,master,divorced,2,"06160 Tate Walk Suite 303
South Deborahville, ND 28805",3,4,4,3,4,4
apple,30,True,M,16,False,1,Museum education officer,bachelor,single,0,"6549 Foley Run Apt. 732
Amandaview, MI 79736",3,3,3,3,3,3
coospo,25,False,M,16,False,3,"Engineer, manufacturing systems",master,married,1,"04702 Stewart Walks Apt. 062
Port Lorettastad, MH 87591",2,5,2,2,4,2
oura,22,True,M,11,True,2,Risk analyst,master,married,2,"18595 Lopez Hills
Erichaven, VT 82444",3,3,3,2,2,2
garmin,63,True,M,12,False,1,"Editor, commissioning",phd,widowed,2,"652 Collins Courts
Christophermouth, IN 39557",5,4,2,4,4,2
oura,25,False,F,27,False,2,"Sales professional, IT",master,married,2,"175 James Keys
Jayville, MD 99405",3,5,4,2,4,3
fitbit,40,True,M,10,True,3,Technical author,school,married,1,"USCGC Wilkerson
FPO AP 11425",4,3,4,3,2,3
garmin,44,True,F,17,False,0,Colour technologist,bachelor,single,3,"450 Kevin Turnpike
South Robertmouth, OK 33196",3,3,2,3,3,2
coospo,48,True,M,17,False,1,Dealer,bachelor,widowed,0,"Unit 8229 Box 6968
DPO AE 03150",2,2,2,2,2,2
fitbit,45,False,M,14,True,2,"Horticulturist, commercial",school,single,3,"3929 Edwards Extensions Suite 248
West Robertside, DC 63386",5,4,5,4,3,4
fitbit,36,True,M,20,False,0,Travel agency manager,master,separated,2,"21858 Rachel Causeway Apt. 582
Port Kirstenmouth, CT 13775",3,3,4,3,3,4
coospo,52,True,M,18,False,1,Ship broker,phd,separated,2,"216 Jason Squares
Jessicashire, AR 99806",3,3,3,3,3,3
coospo,18,True,M,8,False,3,,school,single,0,"054 Medina Crest Apt. 541
Stephenschester, CA 99570",3,2,2,2,2,2
fitbit,60,True,F,24,False,1,Risk analyst,school,separated,2,"3503 Susan Lock
New Cynthia, MD 71799",3,2,4,3,2,4
coospo,48,True,M,10,False,2,Fashion designer,school,widowed,3,"253 Fuentes Trail Apt. 360
East Jamie, PA 09553",3,5,3,3,4,3
huawei,59,True,F,25,True,2,"Teacher, music",bachelor,separated,0,"431 Cook Plain
Johnnymouth, ME 63160",3,3,3,2,2,2
sony,26,True,M,11,False,0,"Surveyor, planning and development",bachelor,divorced,2,"1288 Edward Plaza Apt. 731
Floresmouth, NM 38860",4,3,3,4,3,3
xiaomi,21,True,M,9,True,3,,school,single,0,"097 Ashley Spurs Suite 142
Loriborough, ND 49952",4,4,2,2,2,1
fitbit,55,True,F,22,False,3,Tree surgeon,master,separated,1,"08993 Andrew Lodge
Hardinland, NV 76866",3,5,5,2,4,4
fitbit,22,True,F,25,False,0,Tree surgeon,bachelor,separated,2,"8141 Joshua Pines
Aguirreborough, SC 49982",2,3,2,2,3,2
apple,63,True,M,11,False,0,Financial risk analyst,phd,divorced,3,"09996 Walton Ports Apt. 844
South Valerie, NC 83187",3,4,4,3,4,4
sony,21,True,F,17,False,0,,school,single,0,"461 Fowler Park
Brookemouth, VA 77114",3,3,3,3,3,3
huawei,44,True,F,28,False,2,Child psychotherapist,bachelor,single,1,"3457 Payne Trafficway
Meganville, OH 35067",3,3,3,3,3,3
fitbit,40,True,F,22,True,2,Geographical information systems officer,bachelor,separated,0,"24733 Michael Run Suite 814
Willistown, KS 95360",3,3,3,3,3,3
oura,30,False,F,38,False,0,Call centre manager,master,divorced,0,"0166 Liu Ports Apt. 126
Williamschester, AK 23351",3,2,2,2,2,2
huawei,43,True,F,23,False,1,Youth worker,bachelor,widowed,2,"54066 Benjamin Haven
Port Susan, IN 84906",3,3,3,3,3,3
sony,20,False,M,18,False,0,,school,married,0,"460 Mitchell Street
Howechester, NV 51915",3,3,3,2,2,2
sony,20,False,F,28,False,1,,school,divorced,0,"58844 Sydney Cliff Suite 267
East Robert, GA 03366",3,3,2,2,2,1
garmin,42,True,F,26,False,3,Orthoptist,phd,single,3,"USCGC Fernandez
FPO AP 15719",4,3,4,3,2,3
xiaomi,25,True,M,14,True,3,Music tutor,master,divorced,0,"Unit 1449 Box 8033
DPO AP 91496",2,2,4,2,2,3
fitbit,51,True,M,16,False,0,Leisure centre manager,bachelor,widowed,2,"4434 Casey Crescent
West Patrickchester, IL 49102",2,2,4,2,2,4
sony,45,True,F,17,False,0,Chartered legal executive (England and Wales),bachelor,divorced,3,"853 Tran Cove
North Juan, MH 07265",4,3,2,4,3,2
oura,45,True,M,9,False,0,"Psychologist, counselling",master,divorced,1,"USCGC Singh
FPO AA 69787",3,4,4,3,4,4
huawei,20,False,F,30,False,0,,school,separated,0,"9794 Sonia Radial Apt. 651
Spearsborough, ID 69302",3,3,3,2,2,2
coospo,42,True,M,9,False,1,Barrister's clerk,master,widowed,2,"859 Stevens Gardens Apt. 494
Brownmouth, FM 95459",3,2,3,3,2,3
xiaomi,36,False,F,23,True,1,"Investment banker, corporate",school,single,3,"1906 Cobb Locks Apt. 480
New Joshua, WV 47021",3,5,5,2,4,4
huawei,18,True,M,20,False,3,,school,single,0,"Unit 9048 Box 5265
DPO AE 98976",3,3,3,2,2,2
coospo,19,False,M,27,True,0,,school,single,0,"7964 Robert Orchard
Derrickland, IN 49252",4,4,4,1,1,1
huawei,48,True,F,20,False,2,Mechanical engineer,school,married,2,"8844 Torres Glen Apt. 519
Lake Katrinaberg, VA 19117",3,4,3,3,4,3
sony,42,True,F,19,False,2,"Research officer, trade union",phd,widowed,1,"6137 Wright Lodge
South Bonnie, VT 47490",4,3,2,4,3,2
apple,36,False,M,20,False,2,Careers adviser,phd,divorced,1,"002 Mathis Path
Lake Danielleland, WI 55921",4,3,4,3,2,3
apple,37,True,F,17,False,3,Tree surgeon,phd,divorced,1,"81354 Dyer Wells Suite 622
New Nicole, MN 27549",4,3,3,4,3,3
garmin,30,True,F,22,True,0,Psychiatrist,school,divorced,1,"66463 Kristin Bridge
Port Paul, VT 22189",3,3,3,3,3,3
coospo,44,True,F,21,False,0,Sales executive,master,separated,1,"61093 Angela Track
New Deborah, TX 73045",4,3,2,4,3,2
fitbit,23,True,F,20,False,0,Herpetologist,master,single,0,"78274 Owen Street Apt. 210
New Jennifer, UT 57198",3,3,3,3,3,3
huawei,25,True,M,13,False,0,Plant breeder/geneticist,master,separated,1,"5261 Williams Gateway Suite 565
Joshuastad, WY 99808",3,3,3,3,3,3
fitbit,41,True,F,26,False,2,Chemical engineer,school,widowed,2,"USNS Mendoza
FPO AP 18658",3,3,3,3,3,3
huawei,45,True,M,11,False,3,IT sales professional,phd,separated,0,"4859 Lewis Club Suite 535
East James, TN 26122",3,3,3,3,3,3
apple,18,True,F,14,False,1,,school,single,0,"386 Jones Views
Melodyview, AS 87739",4,3,3,4,3,3
garmin,42,True,M,13,False,0,Seismic interpreter,school,divorced,3,"795 Turner Wells
Willisshire, UT 29027",3,3,2,3,3,2
coospo,28,True,F,15,False,2,Occupational hygienist,school,separated,2,"PSC 4490, Box 2054
APO AA 98937",2,3,3,2,3,3
oura,47,False,M,15,True,1,Consulting civil engineer,school,married,1,"4157 Dustin Crest
Masonmouth, VI 50503",4,4,4,2,2,2
xiaomi,46,False,F,32,False,1,"Engineer, electronics",phd,widowed,3,"68643 Carter Flat
Carpenterville, KY 93209",5,5,5,3,3,3
sony,33,True,F,14,False,1,Sports therapist,bachelor,divorced,0,"5118 Chris Divide
Heatherton, MO 25260",2,2,2,2,2,2
sony,51,True,M,14,False,0,Magazine journalist,school,divorced,3,"2499 Hall Plaza
Lake Juliestad, VA 00551",4,4,4,4,4,4
oura,25,False,M,18,False,2,Geochemist,bachelor,single,1,"9684 David Stream
North Richardborough, FL 98605",4,4,3,4,4,3
fitbit,35,False,F,38,True,1,"Engineer, water",school,single,0,"07422 Melissa Springs
South Cindyshire, MS 18978",3,3,3,2,2,2
coospo,28,True,F,26,True,2,Mechanical engineer,bachelor,married,1,"6611 Allen Lodge
Allenborough, NH 42951",2,3,4,2,2,3
sony,25,True,F,17,False,0,Product manager,bachelor,single,2,"837 Clark Expressway Suite 894
North Amyport, VA 23470",3,4,3,3,4,3
garmin,44,False,M,19,False,3,Curator,phd,single,0,"554 Duke Extensions Suite 474
South Kelly, PR 22847",3,2,2,2,1,1
sony,25,True,M,20,True,0,Insurance account manager,master,separated,1,"7728 Mendoza Dale Suite 799
Markmouth, KY 88397",3,4,4,2,3,3
sony,35,True,F,15,False,0,Sports development officer,bachelor,single,2,"9172 Sanchez Manor
Jonestown, IL 65057",3,4,3,3,4,3
apple,33,False,F,35,False,1,"Lecturer, further education",school,married,0,"6759 Marie Pine Apt. 229
Amandaville, WI 61094",2,2,3,2,2,2
xiaomi,61,False,M,17,True,2,Industrial buyer,bachelor,married,3,"5256 Wallace Brooks
Port Kenneth, OK 27574",3,3,3,2,2,2
sony,63,False,M,16,False,0,Secondary school teacher,master,married,3,"966 Francisco River Suite 608
Lake Michaelport, LA 55573",3,5,5,2,4,4
oura,52,True,F,17,False,3,Broadcast presenter,bachelor,widowed,3,"85964 Teresa Port
Rebeccaside, MI 06112",3,3,3,2,2,2
sony,20,True,M,19,True,0,,school,married,0,"5537 Patterson Trafficway Suite 813
Port Matthewchester, VT 31744",4,5,4,2,3,2
huawei,27,True,F,21,True,1,"Buyer, retail",master,separated,0,"76943 Williams Pine Apt. 666
West Kimberlyfurt, MN 28441",4,2,2,4,2,2
apple,39,False,M,28,False,1,"Psychotherapist, dance movement",school,divorced,1,"364 Christopher Throughway Suite 715
Lake Lindashire, NY 01809",5,5,3,4,4,2
huawei,35,False,F,36,True,3,Records manager,master,married,2,"237 Katie Court Apt. 212
West Lisahaven, PR 72205",2,2,3,1,1,1
huawei,44,True,M,13,False,0,Arboriculturist,phd,single,2,"829 Deborah Harbors
Vegaport, FM 63655",3,4,5,3,4,5
oura,45,True,M,20,False,1,"Radiographer, diagnostic",school,widowed,3,"719 Leah Street
Brianberg, MD 14249",3,3,4,3,3,4
xiaomi,22,False,M,17,False,2,Early years teacher,master,single,1,"84238 Michael Drive Apt. 848
Sarahview, AK 10075",2,4,2,2,3,2
coospo,30,True,M,8,False,1,"Journalist, magazine",school,married,1,"43835 Valdez Ports Suite 698
Lisamouth, MO 62911",2,2,3,2,2,3
oura,56,True,M,17,True,1,"Engineer, drilling",phd,separated,2,"4181 Reeves Village
Tiffanybury, ID 69666",3,3,3,2,2,2
sony,21,True,M,11,False,1,,school,divorced,0,"654 Smith Port Apt. 600
Brownmouth, CA 23824",3,3,4,3,3,4
coospo,61,False,F,20,False,2,Physiological scientist,phd,single,0,"760 Amanda Prairie
Tiffanyside, IA 69890",5,3,2,4,2,2
apple,31,False,F,29,False,1,Sub,school,married,0,"77241 Cheryl Island Suite 545
North Stanleyport, WI 58667",2,2,2,2,2,2
coospo,52,False,F,27,False,3,Lexicographer,master,married,1,"1594 James Springs Suite 202
Angelton, MA 24806",2,2,3,1,1,1
xiaomi,39,True,M,13,False,3,Pathologist,master,separated,2,"5607 Johnson Hill Apt. 643
East Jacquelinemouth, NC 94408",5,3,2,4,3,2
sony,18,True,F,15,False,1,,school,single,0,"0095 Browning Ford
West Taraport, MN 77591",3,4,4,3,4,4
oura,28,False,M,13,False,1,Petroleum engineer,master,single,0,"17111 Mccormick Manor Suite 840
South Michelle, NY 68320",4,3,3,4,3,3
apple,43,True,M,16,False,1,Medical sales representative,phd,widowed,0,"07668 Davies Ways
South Kathleen, ID 76412",3,3,3,3,3,3
xiaomi,23,True,F,18,False,2,Camera operator,master,single,0,"856 Johnson Plains
Millertown, MP 59092",4,3,4,4,3,4
fitbit,25,True,M,10,False,2,"Programme researcher, broadcasting/film/video",bachelor,single,1,"5669 Spencer Highway
Collinsfurt, ND 80222",3,5,5,3,5,5
garmin,18,True,M,18,False,3,,school,single,0,"108 Trujillo Union
East Sandrahaven, IA 92212",3,3,2,2,2,2
sony,41,True,F,24,False,0,"Chemist, analytical",school,married,1,"10510 Thomas Port
New Amandaland, NY 03215",2,3,2,2,3,2
fitbit,24,True,F,28,False,0,Commercial horticulturist,master,married,1,"8396 Jessica Forges Apt. 373
Haynestown, OR 32825",3,3,3,2,2,2
xiaomi,29,True,F,25,False,3,Physiotherapist,school,married,1,"59943 Perez Turnpike Apt. 329
West Trevor, UT 93580",3,2,3,3,2,3
sony,36,True,F,15,True,2,Corporate investment banker,bachelor,single,3,"7856 Lisa Forges
Wendytown, ME 07998",3,3,4,3,3,4
apple,39,True,M,12,False,1,"Scientist, forensic",master,separated,3,"2578 Kline Valley Suite 939
Bergland, MA 65662",3,4,3,3,4,3
sony,32,True,M,19,True,2,"Engineer, biomedical",phd,single,1,"1383 Black Point
East Julia, GU 65350",3,5,4,2,4,3
apple,21,False,M,18,False,1,,school,divorced,0,"743 Taylor Forest
Nelsonland, CT 65789",3,2,3,2,2,2
apple,19,True,F,19,False,0,,school,single,0,"0654 Patricia Forge
Montgomeryport, RI 51869",2,3,3,2,3,3
garmin,36,True,M,14,False,0,"Clinical scientist, histocompatibility and immunogenetics",bachelor,single,2,"Unit 4761 Box 3055
DPO AE 23160",5,4,3,5,4,3
apple,61,False,M,13,False,1,Advertising art director,master,separated,2,"001 Dawn Creek
Markbury, AL 33025",4,5,4,3,4,3
xiaomi,20,False,M,14,False,2,,school,divorced,0,"74418 Jacqueline Parkway
Sloanville, ME 76077",3,3,3,2,2,2
coospo,50,True,F,22,False,2,Production engineer,master,married,3,"USNV Bright
FPO AA 03606",2,2,3,2,2,3
xiaomi,45,True,F,17,False,3,Building control surveyor,school,separated,3,"761 Carter Wall
Montoyaview, WY 92594",3,2,2,3,2,2
oura,19,True,F,29,False,0,,school,single,0,"78588 Lance Parks
Markfurt, OH 07632",3,3,3,2,2,2
sony,37,True,M,11,False,0,"Scientist, research (medical)",school,single,3,"290 Cannon Port
Hammondport, DE 36519",2,3,4,2,3,4
sony,40,True,F,21,False,3,Commissioning editor,school,divorced,3,"USS Pace
FPO AA 76319",3,3,3,3,3,3
fitbit,19,True,F,24,False,1,,school,single,0,"196 Shah Station Apt. 067
East Steve, IA 18739",3,4,3,3,4,3
coospo,44,True,F,24,False,2,Hydrographic surveyor,bachelor,single,2,"PSC 1256, Box 1708
APO AA 48620",3,4,4,3,4,4
coospo,18,True,F,17,False,0,,school,single,0,"Unit 5171 Box 5723
DPO AP 25440",3,4,4,3,4,4
garmin,40,True,M,14,False,3,Further education lecturer,phd,separated,0,"1937 Dodson Trail
Simmonsberg, SD 27749",5,2,3,4,2,3
xiaomi,28,True,M,12,False,0,Publishing rights manager,master,separated,2,"6672 Carrillo Plaza Apt. 432
North Sarahborough, SC 03437",2,2,2,2,2,2
huawei,65,False,F,18,True,1,Legal secretary,bachelor,single,0,"4470 Roth Island
Andrewtown, LA 73326",3,4,4,2,2,2
coospo,45,True,F,21,False,2,Financial manager,phd,separated,3,"96109 Velazquez Freeway
Moorefurt, IA 07636",3,3,2,3,3,2
huawei,51,True,F,22,False,0,Technical brewer,bachelor,married,1,"8529 Lewis Walks
Danielstad, KY 87552",3,3,3,3,3,3
sony,37,True,M,15,False,2,Pathologist,school,single,1,"91784 Derek Springs Apt. 380
West Aaronville, HI 52940",4,4,4,4,4,4
huawei,36,True,F,22,False,3,Community arts worker,master,single,3,"29894 Adrienne Walks Suite 493
Sarahchester, CA 74610",3,4,5,3,4,4
sony,22,False,F,21,True,2,Broadcast journalist,master,single,0,"Unit 8379 Box 1180
DPO AE 80861",3,3,3,2,2,2
oura,37,False,M,23,False,1,Intelligence analyst,master,separated,2,"6828 Cole Trace
North Tony, MD 64452",3,2,3,2,2,2
fitbit,32,True,F,21,False,1,Garment/textile technologist,bachelor,divorced,3,"27513 Brittney Lodge Apt. 038
Farleyport, MP 31725",3,2,4,3,2,4
coospo,35,True,F,14,True,2,Museum/gallery conservator,bachelor,married,3,"96973 Jose Cape
Port Jerome, VI 60556",3,3,2,3,3,2
apple,23,True,M,21,True,1,"Research officer, trade union",master,married,0,"343 Gary Manors Suite 875
Jonathanburgh, FM 55412",3,3,5,2,2,3
xiaomi,61,True,M,21,False,3,Health and safety adviser,phd,married,2,"0088 Rice Parks
East Heather, AR 20506",3,3,3,2,2,2
xiaomi,52,True,F,20,True,2,"Production designer, theatre/television/film",master,single,0,"71519 Patrick Pass
Hernandezhaven, OK 71530",3,4,2,2,3,2
coospo,25,True,F,21,True,0,Structural engineer,bachelor,separated,2,"168 Williams Haven
East Pamela, IN 09339",2,3,3,2,3,3
oura,28,False,F,19,False,0,Planning and development surveyor,school,separated,2,"338 Arias Burg Suite 114
Davisberg, MA 02949",4,3,2,4,3,2
coospo,25,True,M,11,True,1,"Journalist, magazine",bachelor,divorced,2,"79443 Tammy Junction Apt. 270
West Normamouth, NY 66010",3,4,3,3,4,3
huawei,25,False,M,26,False,3,"Civil engineer, contracting",master,single,0,"USNV Lawrence
FPO AA 71052",2,2,3,1,1,2
huawei,40,True,M,20,True,3,Travel agency manager,phd,single,2,"64555 Fritz Light Suite 459
Lake Cassandrastad, NM 42080",5,3,3,3,2,2
garmin,24,True,M,12,False,0,"Programmer, systems",bachelor,divorced,1,"4608 Murray Ports Apt. 312
Rubioburgh, FL 99676",2,3,3,2,3,3
garmin,21,True,F,27,False,3,,school,separated,0,"7926 Cole Flat
Christinamouth, UT 00777",2,4,5,1,2,3
apple,43,True,M,8,False,3,Geoscientist,phd,divorced,1,"40096 Glen Station
Laurieburgh, WI 87770",3,3,3,3,3,3
oura,31,True,F,16,True,1,Materials engineer,school,divorced,1,"674 Mike Club
New Brianview, MN 85562",3,3,3,3,3,3
sony,37,False,F,25,False,3,"Therapist, nutritional",school,divorced,3,"68570 David Square Apt. 780
Shannonburgh, GA 19497",4,3,4,3,2,3
sony,19,False,M,23,True,0,,school,single,0,"2308 Nicole Centers
Michaelmouth, WI 05124",3,3,3,1,1,1
oura,53,False,M,21,False,1,Environmental education officer,school,single,3,"346 Edward Bypass
Adamfort, SD 72377",4,5,4,2,3,2
garmin,22,True,F,25,False,2,Trading standards officer,master,divorced,2,"USNS Jackson
FPO AP 86238",2,2,2,2,2,2
sony,37,True,F,27,True,1,"Nurse, learning disability",master,married,3,"8531 Mary Forks
South Donnaport, MS 88165",4,3,4,3,2,3
sony,25,False,F,36,False,3,Multimedia programmer,master,divorced,1,"24248 Albert Gardens
Lake Michael, AL 13490",2,3,2,1,2,1
sony,30,True,F,21,False,1,Agricultural consultant,bachelor,divorced,0,"483 Warren Falls Apt. 953
Lake Kylie, OH 83451",3,2,3,3,2,3
xiaomi,29,True,M,14,False,1,"Lecturer, higher education",phd,separated,0,"681 Regina Plaza Suite 616
Lake Sarah, AR 99600",3,3,3,3,3,3
apple,23,True,F,25,True,0,"Designer, furniture",bachelor,divorced,2,"5808 Baldwin Mews
Danielleton, OH 69991",3,3,4,2,2,3
garmin,51,True,F,29,False,0,Medical laboratory scientific officer,school,widowed,1,"7731 Wright Courts
New Jeffrey, IA 92845",2,2,2,2,2,2
garmin,31,True,M,18,True,3,Television camera operator,bachelor,married,2,"9655 Virginia Bypass Suite 348
Masonfurt, OR 30370",3,3,3,2,2,2
fitbit,21,True,M,9,True,0,,school,married,0,"60590 Brian Pike
Hallburgh, MS 65846",3,3,2,2,2,2
xiaomi,24,False,M,25,False,3,"Surveyor, building",bachelor,divorced,1,"5554 King Lights Suite 781
Bergerbury, LA 46370",2,4,3,1,1,1
oura,27,True,F,25,False,0,Textile designer,bachelor,single,2,"609 Macias Cliff
East Ashleytown, NC 97257",4,2,2,4,2,2
fitbit,40,True,F,27,False,2,Systems developer,bachelor,single,0,"9625 Rice Rapid Apt. 052
Sarafurt, FL 60991",3,3,3,3,3,3
fitbit,49,True,M,9,False,3,"Teacher, adult education",master,separated,2,"45282 Michael Views Apt. 657
East Tracey, VT 10707",3,3,3,2,2,2
sony,25,True,F,17,False,2,Youth worker,master,single,0,"PSC 2309, Box 5115
APO AE 93718",4,4,4,4,4,4
garmin,55,True,M,13,False,2,Retail manager,school,widowed,0,"07414 Warren Prairie Apt. 760
West Tracey, NJ 76634",3,3,3,3,3,3
coospo,25,True,F,21,True,3,Trade mark attorney,bachelor,married,0,"4838 Matthews Locks
Lake Jamieton, LA 31313",2,3,3,2,2,2
fitbit,51,True,F,18,False,0,Animal technologist,bachelor,married,2,"718 Mills Center
Lake Samantha, NY 19889",4,4,3,4,4,3
apple,51,True,F,29,False,3,"Teacher, early years/pre",school,single,3,"2986 Andre Track
Jasonhaven, HI 10692",3,4,3,2,2,2
fitbit,35,True,M,9,False,3,Historic buildings inspector/conservation officer,school,married,2,"9634 Jennifer Forge
Jessicafort, AL 85597",4,3,3,4,3,3
oura,18,True,F,25,True,2,,school,single,0,"PSC 8804, Box 4016
APO AP 05223",2,2,4,2,2,3
coospo,44,True,M,15,False,1,Firefighter,school,divorced,3,"288 Chris Drive
Port Marcus, MA 44776",5,5,3,5,5,3
coospo,58,True,M,19,False,0,Multimedia specialist,master,divorced,0,"4844 Freeman Prairie
West Christineborough, ID 74634",2,2,4,2,2,3
huawei,29,False,F,23,False,1,Advertising account executive,master,divorced,2,"95167 Murphy Inlet
Smithchester, NE 28181",3,3,3,3,3,3
fitbit,34,True,M,20,True,1,"Lighting technician, broadcasting/film/video",school,married,0,"200 Sheena Ridge Suite 887
South Olivia, HI 90613",3,2,3,2,2,2
sony,23,True,M,20,False,2,Tax adviser,bachelor,divorced,1,"564 Morgan Run Suite 647
Mariaport, CT 16685",3,4,5,2,3,4
huawei,25,True,F,24,False,0,Emergency planning/management officer,master,separated,1,"90777 John Prairie
Victorialand, SC 99033",3,3,3,3,3,3
huawei,29,True,M,18,False,0,Translator,phd,divorced,2,"984 Angelica Pines Suite 457
North Lauren, OH 46601",3,3,3,3,3,3
sony,55,False,M,23,False,2,"Producer, television/film/video",master,separated,0,"1192 Joshua Ranch Apt. 450
North Jasonborough, CO 40235",3,4,4,2,2,2
xiaomi,38,False,F,23,True,1,Sales promotion account executive,master,divorced,3,"526 Henry Prairie Apt. 955
Annafort, NH 36850",4,4,3,3,3,2
oura,24,False,M,21,True,1,Building control surveyor,bachelor,divorced,1,"4770 David Inlet Suite 097
East Ann, WV 80849",2,2,2,1,1,1
apple,50,True,M,18,False,3,Chemical engineer,bachelor,divorced,3,"PSC 9842, Box 3382
APO AA 69904",3,3,3,2,2,2
coospo,31,False,F,32,False,3,"Buyer, industrial",phd,separated,2,"39059 Adrienne Rapid
Loweryborough, RI 50146",3,4,2,2,2,1
